Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Mat,Material,Composicao da frente,Materiais na frente,Torque/Forca de contato,S1-S2,S1-S3
1,10521,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ar2,3Ar2 3Ar2 3Ar2,3Ar2,,1,,,
2,10522.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ar2,3Ar2 3Ar2 3Ar2,3Ar2,,1,,,
3,10524,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ar2,3Ar2,3Ar2 3Ar2 3Ar2,3Ar2,,1,,,
4,10525.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
5,10527,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
6,10528.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
7,10530,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
8,10531.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
9,10533,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
10,10534.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag2,3Ar2,3Ar2 3Ag2 3Ar2,3Ar2 3Ag2,3Ag 3Ar,2 ou mais,,,
11,10536,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
12,10537.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
13,10539,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
14,10540.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3Ar2,3Ag1,3Ar2,3Ar2 3Ag1 3Ar2,3Ar2 3Ag1,3Ag 3Ar,2 ou mais,,,
