Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),anel,Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Face mista
80,10641.2887,23542,6.539444444,2611,0.725277778,40.15796947,30.6885458,2.32260687,21226.81238,15.25029389,1.980343511,14401.17971,0,11.41170229,92.90119466,80,106.285,100.927,-5.358,99.518,-6.767,1.952660305,1.849362595,2.032141221,3.231954198,1.567748092,2.151618321,1.777812977,4641.633,3Ar2,3Ag1,3Ar2,sim
81,10642.7887,59373,16.4925,2783,0.773055556,45.98670144,32.51724101,2.407014388,19790.692,15.59983813,2.100402878,13796.37407,0.211446043,13.27170863,91.41823381,81,118.64,90.549,-28.091,90.239,-28.401,1.97292446,1.858107914,2.029309353,3.993579137,2.404046763,2.183348921,1.820035971,4319.994,3Ar2,3Ag1,3Ar2,sim
82,10644.2887,58798,16.33277778,2709,0.7525,50.20474815,30.75285556,2.304251852,20207.87036,15.16208148,2.034155556,14555.70527,0,10.36528148,80.9764037,82,56.082,55.487,-0.595,55.714,-0.368,1.953648148,1.846437037,2.031818519,3.112462963,2.362514815,2.157081481,1.778314815,2251.709,3Ar2,3Ag1,3Ar2,sim
83,10645.7887,23166,6.435,3433,0.953611111,40.98677843,25.27074636,1.853580175,18763.16957,12.03168222,2.097180758,13601.90825,0.00035277,12.53827697,108.8583469,83,74.699,71.604,-3.095,71.604,-3.095,1.87683965,1.831623907,1.891314869,2.890609329,2.226772595,2.028833819,1.755262391,3243.055,3Ar2,3Ag1,3Ar2,sim
84,10647.2887,92542,25.70611111,2842,0.789444444,48.89525,28.30130986,2.175183099,19711.58247,13.9001831,2.036197183,13648.15186,0.103908451,14.34937324,123.5179683,84,105.19,88.34,-16.85,85.64,-19.55,1.880852113,1.788580986,1.93190493,2.970711268,2.293859155,2.083566901,1.718735915,3861.047,3Ar2,3Ag1,3Ar2,sim
85,10648.7887,34438,9.566111111,2847,0.790833333,57.05134507,29.8730669,2.429880282,19767.73342,15.04205282,1.985556338,13529.72354,0,13.08689085,120.1656127,85,113.501,96.877,-16.624,96.677,-16.824,1.873309859,1.755637324,1.937323944,2.814820423,2.336179577,2.112373239,1.687658451,3272.349,3Ar2,3Ag1,3Ar2,sim
86,10650.2887,43263,12.0175,3637,1.010277778,58.87273278,22.50206336,2.074325069,18739.20034,10.54679614,2.13123416,13087.19884,22.00548485,22.590427,160.7883747,86,111.827,87.343,-24.484,88.211,-23.616,1.892991736,1.794796143,1.94115978,2.969355372,2.327366391,2.112407713,1.722680441,4759.123,3Ar2,3Ag1,3Ar2,sim
87,10651.7887,282694,78.52611111,3188,0.885555556,35.94016614,25.39251724,1.522865204,17111.51315,12.55871473,1.957990596,11138.57024,3.11638558,17.01682759,65.1550627,87,114.138,55.044,-59.094,57.443,-56.695,2.038034483,1.927112853,2.127213166,3.249937304,2.448799373,2.219639498,1.877579937,3952.613,3Ar2,3Ag1,3Ar2,sim
88,10653.2887,46563,12.93416667,3605,1.001388889,68.864675,22.14571389,2.160694444,16988.84105,10.66198889,2.08005,11261.6047,6.242536111,13.82796944,134.5832944,88,106.812,79.281,-27.531,79.458,-27.354,1.901175,1.781633333,1.954133333,2.860125,2.353702778,2.125930556,1.743122222,2225.055,3Ar2,3Ag1,3Ag1,sim
89,10654.7887,18204,5.056666667,3278,0.910555556,44.89445872,26.85839144,2.472452599,16416.86583,13.54487462,1.982862385,12355.98813,29.34417125,17.39900612,107.9534373,89,103.719,94.258,-9.461,96.801,-6.918,1.843920489,1.733957187,1.912275229,3.239510703,2.274721713,2.054360856,1.674021407,3132.517,3Ar2,3Ag1,3Ag1,sim
